tripduration,index,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
319.0,83,2,01/01/2021 12:38:55 AM,01/01/2021 12:44:14 AM,1,1.24,1,N,140,229,1,6.5,0.5,0.5,2.58,0.0,0.3,12.88,2.5
974.0,84,2,01/01/2021 12:50:24 AM,01/01/2021 01:06:38 AM,1,4.78,1,N,140,113,1,17.0,0.5,0.5,4.16,0.0,0.3,24.96,2.5
464.0,85,2,01/01/2021 12:27:50 AM,01/01/2021 12:35:34 AM,1,1.69,1,N,140,238,1,8.0,0.5,0.5,2.36,0.0,0.3,14.16,2.5
266.0,86,2,01/01/2021 12:37:55 AM,01/01/2021 12:42:21 AM,1,1.33,1,N,239,151,1,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5
517.0,88,2,01/01/2021 12:30:16 AM,01/01/2021 12:38:53 AM,2,2.6,1,N,90,142,1,9.5,0.5,0.5,2.66,0.0,0.3,15.96,2.5
318.0,89,2,01/01/2021 12:46:02 AM,01/01/2021 12:51:20 AM,1,1.4,1,N,48,142,1,6.5,0.5,0.5,2.58,0.0,0.3,12.88,2.5
343.0,90,2,01/01/2021 12:11:49 AM,01/01/2021 12:17:32 AM,1,2.44,1,N,137,232,2,9.0,0.5,0.5,0.0,0.0,0.3,12.8,2.5
566.0,91,2,01/01/2021 12:27:59 AM,01/01/2021 12:37:25 AM,1,1.58,1,N,79,45,2,8.0,0.5,0.5,0.0,0.0,0.3,11.8,2.5
579.0,92,2,01/01/2021 12:49:31 AM,01/01/2021 12:59:10 AM,1,3.98,1,N,224,75,2,12.5,0.5,0.5,0.0,0.0,0.3,16.3,2.5
222.0,93,2,01/01/2021 12:52:26 AM,01/01/2021 12:56:08 AM,1,1.06,1,N,236,75,1,5.5,0.5,0.5,1.0,0.0,0.3,10.3,2.5
665.0,94,2,01/01/2021 12:23:24 AM,01/01/2021 12:34:29 AM,2,1.91,1,N,140,142,2,9.5,0.5,0.5,0.0,0.0,0.3,13.3,2.5
846.0,95,2,01/01/2021 12:12:41 AM,01/01/2021 12:26:47 AM,1,4.13,1,N,161,226,1,14.5,0.5,0.5,3.66,0.0,0.3,21.96,2.5
694.0,96,2,01/01/2021 12:23:29 AM,01/01/2021 12:35:03 AM,2,4.12,1,N,162,74,2,13.5,0.5,0.5,0.0,0.0,0.3,17.3,2.5
488.0,97,2,01/01/2021 12:46:17 AM,01/01/2021 12:54:25 AM,2,2.22,1,N,144,170,1,9.0,0.5,0.5,2.56,0.0,0.3,15.36,2.5
726.0,99,2,01/01/2021 12:42:35 AM,01/01/2021 12:54:41 AM,3,1.61,1,N,229,237,2,9.5,0.5,0.5,0.0,0.0,0.3,13.3,2.5
339.0,100,2,01/01/2021 12:32:26 AM,01/01/2021 12:38:05 AM,1,1.89,1,N,75,151,1,7.5,0.5,0.5,2.2,0.0,0.3,11.0,0.0
362.0,101,2,01/01/2021 12:42:56 AM,01/01/2021 12:48:58 AM,1,1.62,1,N,238,236,1,7.5,0.5,0.5,2.82,0.0,0.3,14.12,2.5
1399.0,103,2,01/01/2021 12:47:46 AM,01/01/2021 01:11:05 AM,1,6.56,1,N,79,41,1,21.5,0.5,0.5,4.0,0.0,0.3,29.3,2.5
244.0,104,2,01/01/2021 12:17:39 AM,01/01/2021 12:21:43 AM,1,0.58,1,N,238,239,2,5.0,0.5,0.5,0.0,0.0,0.3,8.8,2.5
394.0,105,2,01/01/2021 12:25:23 AM,01/01/2021 12:31:57 AM,1,1.37,1,N,142,238,1,7.0,0.5,0.5,2.16,0.0,0.3,12.96,2.5
621.0,106,2,01/01/2021 12:58:03 AM,01/01/2021 01:08:24 AM,1,2.65,1,N,137,43,2,10.0,0.5,0.5,0.0,0.0,0.3,13.8,2.5
260.0,107,1,01/01/2021 12:27:44 AM,01/01/2021 12:32:04 AM,0,1.2,1,N,137,229,1,5.5,3.0,0.5,1.86,0.0,0.3,11.16,2.5
535.0,108,1,01/01/2021 12:14:25 AM,01/01/2021 12:23:20 AM,1,0.8,1,N,234,234,1,7.5,3.0,0.5,2.0,0.0,0.3,13.3,2.5
